epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
82,1886.41,0.79887,1.67128,0.73706,1.11951,0,0.93725,0.82979,0.92775,0.72436,0.92964,0.84339,0.92956,0.60914,0.83494,1.36654,0.54281,1.07054,0,0.0011981,0.0011981,0.0011981
83,1909.38,0.81569,1.62997,0.72017,1.11642,0,0.86426,0.79787,0.90355,0.67137,0.85391,0.79787,0.91691,0.58714,0.78466,1.41647,0.65765,1.09302,0,0.0011882,0.0011882,0.0011882
84,1932.32,0.82525,1.60547,0.74848,1.15622,0,0.94059,0.8422,0.92649,0.71504,0.94802,0.8617,0.93593,0.62355,0.73944,1.32152,0.55208,1.04165,0,0.0011783,0.0011783,0.0011783
85,1955.17,0.77922,1.59089,0.6947,1.0968,0,0.92259,0.84043,0.92852,0.7192,0.91091,0.82979,0.90977,0.60691,0.73973,1.34801,0.56955,1.04451,0,0.0011684,0.0011684,0.0011684
86,1978.04,0.76571,1.59957,0.70654,1.1014,0,0.92422,0.84043,0.936,0.70342,0.92422,0.84043,0.936,0.59516,0.79092,1.37025,0.54652,1.06794,0,0.0011585,0.0011585,0.0011585
87,2000.91,0.81507,1.65736,0.73683,1.11093,0,0.88526,0.80851,0.94148,0.70819,0.87361,0.79787,0.92851,0.59546,0.76367,1.34711,0.54171,1.06284,0,0.0011486,0.0011486,0.0011486
88,2023.76,0.76698,1.55845,0.69357,1.09287,0,0.95071,0.84043,0.94749,0.72222,0.95071,0.84043,0.94641,0.60529,0.72196,1.3606,0.53757,1.0522,0,0.0011387,0.0011387,0.0011387
89,2046.62,0.77763,1.57367,0.68356,1.1177,0,0.9321,0.85106,0.94539,0.73062,0.9321,0.85106,0.94539,0.60007,0.75686,1.3483,0.56833,1.04605,0,0.0011288,0.0011288,0.0011288
90,2069.48,0.78458,1.62516,0.70489,1.11675,0,0.93636,0.84043,0.92454,0.72027,0.92993,0.84718,0.93458,0.5936,0.79776,1.37682,0.5552,1.0788,0,0.0011189,0.0011189,0.0011189
91,2092.36,0.78806,1.62592,0.67896,1.11,0,0.86243,0.86703,0.90309,0.68038,0.87301,0.87766,0.91575,0.56912,0.75605,1.42952,0.56632,1.06868,0,0.001109,0.001109,0.001109
92,2115.26,0.77223,1.57192,0.66943,1.10767,0,0.91965,0.85106,0.90434,0.69604,0.925,0.87234,0.91638,0.57277,0.72198,1.40248,0.56826,1.04246,0,0.0010991,0.0010991,0.0010991
93,2138.18,0.74777,1.58059,0.6856,1.09878,0,0.94555,0.82979,0.93449,0.72947,0.94555,0.82979,0.92462,0.60058,0.73175,1.35029,0.52605,1.04709,0,0.0010892,0.0010892,0.0010892
94,2161.09,0.7998,1.61284,0.71665,1.11526,0,0.91671,0.8617,0.93254,0.71434,0.91671,0.8617,0.93254,0.59512,0.73738,1.34291,0.54626,1.04844,0,0.0010793,0.0010793,0.0010793
95,2183.98,0.74937,1.54425,0.66305,1.09242,0,0.82409,0.8971,0.93201,0.72806,0.93429,0.82979,0.94881,0.61227,0.64504,1.36023,0.50553,1.01598,0,0.0010694,0.0010694,0.0010694
96,2206.85,0.77027,1.56903,0.71547,1.10622,0,0.90591,0.8617,0.94254,0.71314,0.90591,0.8617,0.94479,0.60606,0.6431,1.37705,0.58257,1.02175,0,0.0010595,0.0010595,0.0010595
97,2229.74,0.75344,1.55254,0.70569,1.09661,0,0.82901,0.82525,0.89719,0.69316,0.82901,0.82525,0.90121,0.59513,0.67621,1.36512,0.59656,1.02177,0,0.0010496,0.0010496,0.0010496
98,2252.67,0.74791,1.5469,0.6667,1.07924,0,0.89974,0.8617,0.93623,0.70022,0.87702,0.83454,0.92127,0.6043,0.69925,1.33178,0.52479,1.03516,0,0.0010397,0.0010397,0.0010397
99,2275.56,0.76525,1.5487,0.67397,1.10668,0,0.95023,0.8125,0.93137,0.72019,0.87706,0.88298,0.93246,0.61204,0.67989,1.32095,0.54886,1.0162,0,0.0010298,0.0010298,0.0010298
