epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,1032.94,1.12279,1.76014,0.96523,0.01523,0.93551,0.89075,0.82979,0.8783,0.65175,0.89075,0.82979,0.86785,0.57385,0.89909,1.35371,0.58884,0.02069,0,0.0016337,0.0016337,0.0016337
39,1059.97,1.12955,1.83707,0.98883,0.0147,0.98968,0.88016,0.79787,0.87762,0.626,0.88016,0.79787,0.87762,0.57095,0.9897,1.32192,0.75645,0.0257,0,0.0016238,0.0016238,0.0016238
40,1086.99,1.11216,1.79561,0.96857,0.01459,0.97097,0.88064,0.81915,0.89769,0.65653,0.89207,0.82979,0.90705,0.57011,0.84021,1.38827,0.64643,0.02062,0,0.0016139,0.0016139,0.0016139
41,1114.02,1.06058,1.70622,0.93479,0.01386,0.93212,0.88639,0.81915,0.8925,0.65934,0.89857,0.82979,0.89748,0.57559,0.84131,1.31211,0.63618,0.0195,0,0.001604,0.001604,0.001604
42,1141.05,1.0442,1.72449,0.91987,0.01318,0.93165,0.8547,0.8617,0.87378,0.6443,0.8547,0.8617,0.87431,0.56464,0.87387,1.30793,0.65345,0.01981,0,0.0015941,0.0015941,0.0015941
43,1168.1,1.08804,1.76625,0.91693,0.01409,0.91879,0.82752,0.85106,0.87944,0.66059,0.87912,0.80851,0.88093,0.58297,0.75202,1.29906,0.61573,0.01632,0,0.0015842,0.0015842,0.0015842
44,1195.15,1.03491,1.75211,0.94651,0.01324,0.96098,0.91704,0.82324,0.90548,0.67578,0.91562,0.79787,0.90897,0.59211,0.77959,1.2876,0.56181,0.01906,0,0.0015743,0.0015743,0.0015743
45,1222.2,1.05777,1.79084,0.91128,0.01366,0.97014,0.8684,0.84239,0.91174,0.66283,0.8684,0.84239,0.90775,0.6092,0.88056,1.31177,0.56375,0.02057,0,0.0015644,0.0015644,0.0015644
46,1249.26,1.0806,1.74821,0.91465,0.01428,0.92651,0.92506,0.78796,0.89556,0.65724,0.92506,0.78796,0.87557,0.57523,0.92852,1.50805,0.80615,0.02125,0,0.0015545,0.0015545,0.0015545
47,1276.32,1.06067,1.71199,0.92748,0.01385,0.95688,0.8512,0.85197,0.89217,0.65149,0.84057,0.84133,0.881,0.57643,0.91923,1.32935,0.58234,0.0224,0,0.0015446,0.0015446,0.0015446
48,1303.36,1.05564,1.71394,0.90223,0.01349,0.93323,0.88045,0.85106,0.90326,0.66277,0.86976,0.85257,0.89433,0.60203,0.81124,1.29688,0.59727,0.0188,0,0.0015347,0.0015347,0.0015347
49,1330.4,1.06828,1.66316,0.84124,0.01406,0.893,0.93272,0.84043,0.9101,0.65528,0.92092,0.82979,0.90759,0.60566,0.89009,1.4003,0.4887,0.02394,0,0.0015248,0.0015248,0.0015248
50,1357.47,1.10732,1.77278,0.93146,0.01481,0.8885,0.91547,0.7766,0.88197,0.62438,0.91547,0.7766,0.88532,0.54498,0.8617,1.57163,0.63038,0.02069,0,0.0015149,0.0015149,0.0015149
51,1384.51,1.054,1.68081,0.85555,0.01389,0.83904,0.87017,0.713,0.79351,0.55413,0.88315,0.72364,0.80704,0.51481,0.99827,1.53408,0.90574,0.02393,0,0.001505,0.001505,0.001505
52,1411.57,1.06383,1.74813,0.94847,0.01392,0.90903,0.95201,0.84415,0.92396,0.60273,0.96412,0.85756,0.92948,0.58672,1.14555,1.25597,0.55673,0.02641,0,0.0014951,0.0014951,0.0014951
53,1438.62,1.00418,1.6088,0.82081,0.01367,0.821,0.91248,0.84043,0.92375,0.6462,0.91248,0.84043,0.92939,0.62444,0.98886,1.23305,0.56891,0.02012,0,0.0014852,0.0014852,0.0014852
54,1465.61,1.03618,1.72054,0.84275,0.01361,0.91045,0.89985,0.86024,0.90716,0.67275,0.88874,0.84983,0.90292,0.59783,0.82789,1.33828,0.55998,0.01768,0,0.0014753,0.0014753,0.0014753
55,1492.66,1.0494,1.68425,0.90162,0.01297,0.91972,0.91766,0.82989,0.89355,0.64491,0.91766,0.82989,0.89226,0.58918,0.76949,1.30627,0.7293,0.01726,0,0.0014654,0.0014654,0.0014654
